hour,off_hours,event_code,burst_count,user_frequency
2,1,7,2,22
17,0,13,2,19
15,0,3,2,21
19,0,15,1,16
7,1,14,1,29
17,0,13,2,17
9,0,13,1,15
17,0,2,1,28
14,0,13,2,21
7,1,4,1,19
12,0,3,1,15
17,0,13,1,25
9,0,14,1,21
21,1,15,1,18
1,1,14,2,21
22,1,7,1,15
11,0,3,3,19
14,0,11,1,19
2,1,7,2,15
1,1,13,1,28
1,1,9,2,18
19,0,1,2,22
14,0,2,3,19
22,1,7,1,22
17,0,13,3,33
11,0,7,2,19
3,1,14,1,21
9,0,0,1,22
22,1,15,3,25
13,0,13,1,25
9,0,13,2,25
15,0,13,3,21
4,1,13,2,22
2,1,2,1,30
4,1,13,2,27
16,0,2,2,17
6,1,2,1,23
23,1,1,2,20
12,0,14,1,19
9,0,14,1,23
10,0,2,2,21
8,0,14,3,25
5,1,14,2,19
19,0,15,1,18
23,1,2,1,15
14,0,13,1,17
5,1,14,1,20
15,0,1,1,15
12,0,11,2,15
4,1,11,2,21
14,0,2,3,22
16,0,13,1,25
12,0,2,2,19
11,0,14,2,33
6,1,13,2,15
20,0,3,1,30
0,1,7,1,20
21,1,0,1,16
4,1,13,1,15
9,0,13,1,26
18,0,14,1,20
12,0,2,1,22
19,0,12,2,17
4,1,2,1,17
16,0,4,1,23
5,1,3,1,23
1,1,13,1,15
17,0,2,3,33
6,1,11,3,21
19,0,12,1,17
12,0,13,3,30
20,0,3,1,17
23,1,0,3,21
2,1,15,2,15
7,1,14,3,15
1,1,3,1,27
6,1,13,3,22
16,0,4,1,29
21,1,14,1,15
23,1,13,1,26
11,0,14,1,22
8,0,4,1,23
12,0,14,1,19
23,1,14,1,17
6,1,7,1,21
17,0,2,1,30
4,1,13,2,21
12,0,14,1,26
7,1,0,2,8
0,1,2,1,21
13,0,14,1,17
7,1,14,2,19
5,1,13,1,23
20,0,14,1,23
13,0,14,1,19
11,0,13,1,16
13,0,14,1,27
19,0,14,2,33
1,1,12,3,25
9,0,3,1,22
22,1,14,1,19
20,0,11,1,21
6,1,13,1,30
21,1,13,1,19
15,0,13,1,33
3,1,14,2,18
2,1,14,2,21
16,0,7,4,22
5,1,14,1,22
7,1,13,1,21
15,0,13,1,21
21,1,13,1,15
0,1,0,1,17
12,0,14,1,23
15,0,14,1,8
5,1,13,1,29
4,1,12,1,17
4,1,3,2,19
13,0,13,1,16
5,1,3,3,22
22,1,15,1,8
2,1,3,4,25
10,0,8,1,22
9,0,13,1,30
22,1,15,3,19
19,0,2,2,21
19,0,13,2,15
19,0,15,1,30
9,0,13,1,15
6,1,6,2,22
8,0,3,1,14
8,0,13,2,19
13,0,13,1,22
16,0,7,1,13
22,1,3,2,17
19,0,15,1,25
3,1,2,1,23
18,0,14,2,23
1,1,2,2,17
6,1,13,3,18
22,1,13,3,21
20,0,2,3,19
15,0,7,3,20
23,1,14,1,30
4,1,2,1,19
23,1,1,1,20
15,0,1,2,25
14,0,0,1,25
16,0,12,3,23
2,1,12,1,33
20,0,2,2,15
19,0,14,2,30
23,1,15,2,18
16,0,13,4,17
10,0,13,1,30
9,0,7,2,22
11,0,4,1,19
18,0,14,1,22
3,1,1,2,18
3,1,11,1,28
20,0,2,3,25
14,0,2,2,33
6,1,14,1,21
13,0,2,1,27
21,1,6,1,28
14,0,13,1,26
7,1,3,1,30
10,0,13,1,22
2,1,1,1,25
0,1,9,2,19
